Family area_per_pair average_leaf_depth avg_ladder avg_vert_depth b1 b2 beta blum cherries colless colless_corr colless_quad crown_age diameter double_cherries eigen_centrality eigen_centralityW ew_colless four_prong gamma i_stat il_number imbalance_steps j_one j_stat laplace_spectrum_a laplace_spectrum_e laplace_spectrum_g laplace_spectrum_p max_adj max_betweenness max_closeness max_closenessW max_del_width max_depth max_ladder max_laplace max_width mean_branch_length mean_branch_length_ext mean_branch_length_int min_adj min_laplace mntd mpd mw_over_md nltt_base number_of_lineages phylogenetic_div pigot_rho pitchforks psv rogers root_imbalance rquartet sackin stairs stairs2 symmetry_nodes tot_coph tot_internal_path tot_path tree_height treeness var_branch_length var_branch_length_ext var_branch_length_int var_depth vpd wiener Taxa
Rhinatrematidae 5.63636363636364 4.27272727272727 3 3.52380952380952 5.45 2.859375 -0.74375 9.35183993424988 4 21 0.466666666666667 97 135.018362958 9 0 0.440026892183232 0.649064953743197 0.565784832451499 1 -0.858399555734558 0.733333333333333 3 3 0.80965420861724 18.0449788339074 0.253211121367713 8.49730841843992 1 1.30134798894828 123.4641147576 123 0.0178571428571429 0.000594730770728297 2 7 3 271.5354254174 4 37.9939913936 35.8221266036364 40.6484928035556 5.766154262 0.3733144474 71.6443079489091 198.494767172982 0.571428571428571 0.488366104154851 11 759.879827872 -0.28888519502676 1 99.2473835864909 6 0.818181818181818 201 47 0.6 0.599126984126984 6 80 27 74 135.018362958 0.481439856426383 879.140182680435 623.520152391665 1294.14469800847 3.21818181818182 4019.6852290095 29921.896894274 Amphibians
Typhlonectidae 6.1025641025641 3.92307692307692 0 3.12 7.91666666666667 3.5 9.99967852144474 9.21830854162536 6 11 0.166666666666667 31 79.32007232 9 1 0.421266680620902 0.492107177787405 0.252066115702479 0 -0.730981708005755 0.24 1 7 0.943249339918318 9.58729195856016 0.0147854531990716 8.13321855735256 1 1.87908881597994 59.9860397137 173 0.0136986301369863 0.000672744011785251 4 5 0 132.7633210487 8 19.7713040241667 16.4044316846154 23.7503349709091 3.0927567639 0.8034709659 32.8088759046154 124.634795461282 1.6 0.539828106090676 13 474.51129658 1.74062012440579 1 62.317397730641 5 0.615384615384615 915 51 0.416666666666667 0.802083333333333 5 68 27 78 79.32007232 0.550574215119774 89.850327071748 60.7554545707741 101.596672621358 0.743589743589744 1727.62396128589 28611.0841902 Amphibians
Indotyphlidae 8.53333333333333 5.61904761904762 4.33333333333333 4.78048780487805 8.14404761904762 3.45703125 -1.5460489315144 24.6793960586396 4 56 0.294736842105263 266 75.7045403257 17 0 0.403045267062803 0.604807319315538 0.758667002434316 3 -2.99130365447203 0.774145299145299 13 11 0.781683609138593 5.59080740164834 -0.0307150736056555 8.55930738489386 1 1.65352353946905 57.9413086314 491 0.00537634408602151 0.000447781978219653 2 9 6 122.7908115159 6 19.0338618882575 27.4224142875238 9.76230397327895 1.628955744 0.008580742 54.8448470233524 117.406955434615 0.666666666666667 0.521099089172144 21 761.3544755303 0.655125138471273 3 58.7034777173076 16 0.619047619047619 7095 118 0.8 0.462241092241092 16 284 78 196 75.7045403257 0.243623412554456 224.349575352624 184.48467098032 108.27455796893 4.34761904761905 1380.73617028612 69824.5452059296 Amphibians
Dermophiidae 6.1978021978022 4.57142857142857 0 3.77777777777778 7.95 3.203125 0.145439453125 11.5113241836033 6 26 0.333333333333333 150 78.874750655 10 0 0.412889047711635 0.548487719307587 0.424338624338624 0 -0.528423638220617 0.507142857142857 2 6 0.832858889200101 7.78221895581413 0.839246791522524 8.22799755796179 6 1.46652031819824 64.9837687478 199 0.0125 0.00073291936049585 2 7 0 146.7366124818 6 17.9009812356846 17.9197875894286 17.87904048965 3.0282707064 0.228903833 35.8395960223428 108.951065381398 0.857142857142857 0.578512976421413 14 465.4255121278 0.287585625783956 2 54.4755326906989 7 0.785714285714286 705 64 0.538461538461538 0.680563880563881 7 134 38 102 78.874750655 0.460972766393793 125.071132240695 128.591587039018 132.279722386266 2.72527472527473 2292.01082063311 28834.7665824016 Amphibians
Bombinatoridae 5.42222222222222 3.8 2 3.05263157894737 4.91666666666667 2.875 0.5753125 7.72665366484764 3 12 0.333333333333333 46 87.10998 8 0 0.441713769732663 0.629138172523598 0.59375 2 1.02071639865845 0.54375 4 4 0.874191603917727 9.88438744444445 1.63297581688061 8.00511160137146 3 1.74134581173275 83.807125116 105 0.0212765957446809 0.00111729046853814 2 5 2 186.3571050472 4 17.6144137222222 14.5082671 21.497097 3.8318732842 0.6166357003 29.0165482 98.8438744444445 0.8 0.636023947981524 10 317.059447 1.86135311614679 2 49.4219372222222 5 0.8 192 38 0.555555555555556 0.657407407407407 5 49 20 58 87.10998 0.54241177049678 245.553775024843 113.654777136267 419.205411046317 1.51111111111111 3557.05072165115 13192.90792 Amphibians
Alytidae 6.18181818181818 4.09090909090909 3.5 3.33333333333333 4.36666666666667 2.90625 -1.60567173424878 10.268130666124 2 17 0.377777777777778 45 114.17398 11 0 0.370873474440157 0.653669346953838 0.790123456790123 2 0.967281604237058 0.722222222222222 7 4 0.845638840111339 13.5148758181818 2.20508541001333 8.37516851053568 1 2.99685861900851 113.9997907507 109 0.0144927536231884 0.00049383023297141 2 6 4 250.0523026343 4 20.85669165 18.5570310909091 23.6673878888889 7.3388610143 0.4532329645 37.1140678181819 148.663634 0.666666666666667 0.667864283124999 11 417.133833 1 2 74.331817 8 0.545454545454545 450 45 0.8 0.52 8 55 25 70 114.17398 0.510643045825535 454.217253269973 164.138524204317 857.433703050395 2.09090909090909 7897.21227962697 26040.882718 Amphibians
Pipidae 9.31818181818182 6.6969696969697 3 5.81538461538462 17.5198773448773 3.91943359375 -0.5553125 35.6561780918596 12 109 0.219758064516129 1317 158.30501852 17 2 0.340894821780728 0.567323864093516 0.471918993787339 2 1.00231019058381 0.622838109602815 9 20 0.753235320990176 6.10288713931554 0.760368047176827 9.8423451901935 1 1.65031160949424 124.6368981307 1163 0.00317460317460317 0.000142190073746674 4 12 4 272.0137465284 12 20.387259823125 20.1660480608182 20.6227433120323 0.8377823655 0.0843832705 40.3321148002424 201.395275597413 1 0.750235803974095 33 1304.78462868 0.346291159627611 3 100.697637798706 18 0.787878787878788 29988 221 0.5625 0.626862905460767 18 1076 157 378 158.30501852 0.489969783993976 439.491058938886 440.640552816446 452.803505103291 6.90530303030303 13450.9000760104 349679.16940116 Amphibians
Pelobatidae 5.81818181818182 3.72727272727273 2 2.95238095238095 5.41666666666667 3.1875 9.99967852144474 8.37101068123816 3 11 0.244444444444444 21 150.41128 9 0 0.438931769618865 0.683752837260363 0.614814814814815 2 1.62431528666745 0.4375 5 5 0.928140190366104 17.4831679206612 1.43553774532407 8.6651628414718 1 1.98455266485104 155.0341521256 131 0.0175438596491228 0.000422204895402431 2 5 2 338.1533081279 6 25.2979086 15.2657061818182 37.5594893333333 4.3815544404 1.0102241922 30.5314172727273 192.314847127273 1.2 0.694197157892075 11 505.958172 1 3 96.1574235636364 7 0.636363636363636 432 41 0.7 0.648809523809524 7 45 21 62 150.41128 0.668109386718236 868.370104839192 86.6207861965162 1646.57636653824 0.818181818181818 13167.1062088694 34487.234756 Amphibians
Limnodynastidae 10.2556561085973 7.13461538461539 3 6.21359223300971 29.6511904761905 4.23828125 0.29265625 54.7262316151483 20 155 0.12156862745098 3041 103.214889944 16 5 0.306191150901912 0.666173983405962 0.378821204526468 3 -0.176480062621518 0.4904607975953 12 42 0.798983464537296 2.45801172503357 1.13849441476891 9.89237029248911 15 3.75313033132913 92.7511399757 3329 0.00194552529182879 0.000157122519058769 4 9 4 202.955189139 18 11.3885413599873 10.2404165233846 12.582591190054 0.7947218906 0.0567556263 20.4808561834308 127.816609701745 2 0.783567544918148 52 1161.6312187187 0.751103072989735 4 63.9083048508727 25 0.846153846153846 205827 371 0.490196078431373 0.693843901196842 25 2661 269 640 103.214889944 0.541591470136831 115.418223665452 64.7736710967767 167.631626553855 3.49132730015083 2812.97290199973 567863.99950831 Amphibians
Batrachylidae 6.8021978021978 4.5 4 3.7037037037037 6.56666666666667 3.125 -0.7673046875 13.1695522602068 4 23 0.294871794871795 81 40.044436807 12 0 0.422285519216166 0.517954387568075 0.591666666666667 1 -0.413359367307694 0.587585034013605 6 7 0.846078871568356 4.25873971171272 0.494978130196287 7.53434250911665 1 2.05150495155737 33.7180867069 195 0.0103092783505155 0.00117737840971714 2 6 4 71.8069728594 6 9.06372466046154 9.96392281578571 8.01349347925 1.22100336 0.1765638009 19.9278488461429 59.622355963978 1 0.57965115383244 14 235.656841172 0.583264306108885 2 29.811177981989 9 0.571428571428571 1299 63 0.692307692307692 0.595604395604396 9 100 37 100 40.044436807 0.408059113721268 44.6074728525112 66.2654033002337 20.8323416307261 1.96153846153846 575.478574224671 16225.390224468 Amphibians
