gamma sackin colless colless_corr colless_quad beta blum crown_age tree_height pigot_rho number_of_lineages nltt_base phylogenetic_div avg_ladder max_ladder cherries double_cherries four_prong il_number pitchforks stairs laplace_spectrum_a laplace_spectrum_p laplace_spectrum_e laplace_spectrum_g min_laplace max_laplace min_adj max_adj imbalance_steps j_one b1 b2 area_per_pair average_leaf_depth i_stat ew_colless max_del_width max_depth avg_vert_depth max_width mw_over_md tot_path tot_internal_path rogers stairs2 tot_coph var_depth symmetry_nodes mpd psv vpd mntd j_stat rquartet wiener max_betweenness max_closeness max_closenessW diameter eigen_centrality eigen_centralityW mean_branch_length var_branch_length mean_branch_length_int mean_branch_length_ext var_branch_length_int var_branch_length_ext treeness root_imbalance model
-0.2325544 3022 1192 0.02675585 56726 0.1807715 348.8588 10 10 0.5614878 300 0.8014997 595.5009 2.35 4 99 8 19 102 60 0.5986622 -0.9485943 5.582053 9.315349 1 0.0001817713 18.0703 0.001151904 8.490217 284 0.8168913 162.1294 6.680969 16.94925 10.07333 0.4500188 0.4554192 16 15 9.09182 88 5.866667 5446 2424 179 0.6634912 71702 5.365842 183 16.30251 8.151253 13.78902 1.933718 0.05434168 314002818 2573369 117051 0.0001980983 0.0002093224 28 0.2296231 0.7071031 0.9958209 1.037981 1.024977 0.9668589 1.108889 0.9693297 0.5129182 0.75 BD
0.8991388 2857 949 0.02130143 14997 0.3813126 350.4502 10 10 0.6342617 300 0.8011217 596.6349 2.413793 5 94 5 24 112 57 0.6521739 -1.980746 8.321011 9.316925 1 0.0000801874 16.54052 0.0001490359 7.391696 284 0.8640692 156.5726 7.126099 16.77599 9.523333 0.5098614 0.4934959 24 15 8.540902 112 7.466667 5116 2259 195 0.6332573 50920 4.364002 195 17.71312 8.856562 13.01351 1.998663 0.05904375 415439814 2825754 116217 0.0001988467 0.0001882148 30 0.2257567 0.6914638 0.9977172 1.063359 0.9960919 0.9993317 1.112063 1.018533 0.497516 0.5733333 BD
1.591236 3212 1476 0.03313057 57342 -0.3609863 365.3985 10 10 0.4999584 300 0.8176654 547.0038 2.518519 5 96 6 27 108 52 0.6454849 -1.501316 5.83732 9.318658 1 0.0000839726 14.5876 0.0007103454 6.428797 282 0.7685696 155.3507 6.198166 18.20642 10.70667 0.5765266 0.5127074 24 17 9.72621 74 4.352941 5826 2614 193 0.6086021 71915 7.211327 195 16.43101 8.215503 17.29081 1.835345 0.05477002 372880209 2625520 107491 0.0001765848 0.0001959507 32 0.2309655 0.6237373 0.9147221 0.9825164 0.9117521 0.9176724 1.038239 0.9304355 0.4967097 0.6366667 BD
2.110897 3000 1202 0.02698031 58840 0.316579 345.7478 10 10 0.4466592 300 0.819509 541.4731 2.5 4 102 9 17 96 55 0.6120401 -0.6962218 5.335393 9.325586 574 0.0000165174 20.9903 0.0000224138 9.676028 284 0.8228819 162.9607 6.65741 16.75496 10 0.4675416 0.4521376 24 15 9.018364 90 6 5402 2402 183 0.6576706 72770 5.498328 185 16.61361 8.306805 14.75368 1.562592 0.0553787 308726904 2661598 112485 0.0002003205 0.000201774 28 0.2569701 0.698661 0.9054734 1.019539 1.030484 0.7812959 1.392996 0.6209428 0.5671276 0.7433333 BD
0.759386 3165 1419 0.03185114 122139 0.343078 350.0894 10 10 1 300 0.8222435 533.2696 2.433333 4 93 6 26 114 58 0.6454849 -0.8228303 4.113475 9.329777 588 0.0002790502 16.6168 0.0002877273 7.379657 282 0.7799828 156.7379 6.564651 16.44729 10.55 0.5137837 0.4979981 16 17 9.569282 70 4.117647 5732 2567 193 0.6320557 104337 7.793478 193 16.71181 8.355906 16.41174 1.711768 0.05570604 232394901 2684137 118317 0.0002047921 0.000199052 27 0.231629 0.7023009 0.8917552 0.8288515 0.9278674 0.8558839 0.896796 0.7615428 0.5185078 0.8366667 BD
1.800942 3079 1313 0.02947184 100761 0.5340918 343.295 10 10 -0.0809209 300 0.8227708 531.6875 2.666667 4 103 11 19 94 46 0.6020067 -0.7752715 4.812876 9.337203 589 0.000251896 15.08545 0.0003810829 6.937938 282 0.8017686 163.0097 6.503876 16.3487 10.26333 0.4814583 0.4440489 24 17 9.282137 92 5.411765 5560 2481 180 0.6596427 93691 6.221394 183 17.23938 8.619689 17.12111 1.652748 0.0574646 250114989 2779732 115677 0.0002065262 0.0001872111 27 0.2409681 0.5468581 0.8891095 0.8158892 0.9522658 0.8263741 0.9302726 0.6970753 0.5337256 0.86 BD
-1.136515 3073 1209 0.02713744 40139 -0.06066406 357.5571 10 10 0.7233296 300 0.8039872 588.0384 2.826087 5 95 5 21 110 53 0.6488294 -1.551682 6.41865 9.31354 1 0.0001765613 16.3743 0.000248078 7.430488 282 0.8033341 155.8827 6.264023 17.66022 10.24333 0.5204017 0.4920027 26 17 9.262104 90 5.294118 5548 2475 194 0.6285559 63383 6.04427 197 17.01576 8.507879 15.88494 1.980823 0.05671919 398739441 2705804 118379 0.0001851509 0.0001902503 31 0.2151626 0.659005 0.9833418 0.8594871 0.9762249 0.9904113 0.9685006 0.7539768 0.4947211 0.6233333 BD
1.793233 2909 1033 0.02318691 21611 0.2065344 351.1876 10 10 0.7233296 300 0.8273427 517.9719 2.722222 5 100 4 14 100 54 0.6421405 -1.747967 6.290458 9.325722 584 0.0000966773 14.2278 0.0002977396 6.417132 284 0.8486234 159.4465 6.988647 16.97634 9.696667 0.48421 0.4700218 20 15 8.714524 98 6.533333 5220 2311 192 0.6392713 54201 4.653501 192 17.59938 8.79969 16.49165 1.544863 0.0586646 415640517 2852546 114509 0.0001939112 0.0001827631 29 0.220791 0.6227789 0.8661738 0.7121285 0.9605453 0.7724313 0.8050318 0.6045352 0.5526217 0.5533333 BD
0.9307647 3087 1327 0.02978609 44291 -0.3256543 365.2011 10 10 0.6342617 300 0.8134153 559.7541 2.631579 5 99 6 16 102 51 0.6254181 -1.623809 9.138041 9.320395 589 0.0000912666 15.12926 0.002195787 6.833541 282 0.7996908 156.0939 6.554871 17.66129 10.29 0.5442917 0.4866228 26 17 9.308848 84 4.941176 5576 2489 187 0.6187738 65452 7.069465 189 17.37726 8.688632 14.90971 1.757562 0.05792421 391498047 2787629 111079 0.00018457 0.0001877773 33 0.2305091 0.6403773 0.9360437 0.9364269 0.9936906 0.8787811 1.137502 0.7332268 0.5290176 0.5966667 BD
2.111775 2922 1012 0.02271554 33480 0.7873047 336.31 10 10 0.5614878 300 0.8159465 552.1605 2.35 4 105 12 20 90 52 0.5919732 -1.807021 8.499306 9.325274 587 0.0001255717 17.58437 0.0005768109 8.048996 284 0.8448479 166.4774 6.836243 16.79866 9.74 0.4221201 0.4252139 32 15 8.75793 94 6.266667 5246 2324 177 0.6799026 60129 4.641204 179 17.53007 8.765035 14.11485 1.69085 0.05843357 412514877 2819598 108899 0.0001916076 0.00018368 28 0.257431 0.7017612 0.9233453 0.8911735 1.001788 0.8454251 0.9403314 0.8331003 0.5406634 0.5233333 BD
