gamma	sackin	colless	beta	blum	crown_age	tree_height	pigot_rho	number_of_lineages	nltt_base	phylogenetic_div	avg_ladder	max_ladder	cherries	il_number	pitchforks	stairs	laplace_spectrum_a	laplace_spectrum_p	laplace_spectrum_e	laplace_spectrum_g	imbalance_steps	j_one	b1	b2	area_per_pair	average_leaf_depth	i_stat	ew_colless	max_del_width	max_depth	max_width	rogers	stairs2	tot_coph	var_depth	symmetry_nodes	mpd	psv	vpd	mntd	j_stat	rquartet	wiener	max_betweenness	max_closeness	diameter	eigenvector	mean_branch_length	var_branch_length	mean_branch_length_int	mean_branch_length_ext	var_branch_length_int	var_branch_length_ext	model	extinction	combined
-3.860695	3118	1334	0.1719385	350.7995	10	10	0.06144626	300	0.6930303	920.9092	2.5	5	97	106	55	0.6187291	-1.27897	5.042135	9.293931	580	279	0.7917401	158.9482	6.795561	16.99081	10.39333	0.4909693	0.4711793	28	20	86	185	0.648551	85122	10.21266	187	18.48478	9.242392	7.454095	3.428241	0.06161595	291585138	2769625	109469	1.995885e-4	31	0.7069397	1.539982	1.913283	1.364674	1.714121	1.356262	2.411921	DDD	TRUE	DDD_TRUE
-4.370792	3120	1368	-0.3543616	367.6213	10	10	-0.2848174	300	0.6834111	949.7667	2.384615	5	96	108	48	0.638796	-1.180914	4.211753	9.300964	570	282	0.7912326	155.4324	6.359161	17.61079	10.4	0.5330918	0.4873081	16	17	86	191	0.6203248	71518	7.217391	193	18.41247	9.206236	7.877168	3.833446	0.06137491	319710501	2739337	114117	2.004631e-4	30	0.702211	1.588239	2.23025	1.25755	1.916723	1.30846	2.936081	DDD	TRUE	DDD_TRUE
-4.663908	3318	1540	0.1866602	351.0007	10	10	-0.7515772	300	0.7011227	896.6318	2.576923	4	95	110	55	0.638796	-0.8516172	4.877196	9.302991	22	282	0.7440162	157.8724	6.026108	16.36968	11.06	0.5056158	0.4852055	16	17	86	191	0.6385466	128951	7.78903	193	17.23306	8.616531	7.858596	3.618728	0.05744354	207514851	2559632	118601	2.171736e-4	29	0.6684981	1.499384	1.872462	1.187324	1.809364	1.117303	2.435367	DDD	TRUE	DDD_TRUE
-5.25917	3340	1558	-0.3079883	360.755	10	10	0.2528683	300	0.6864741	940.5777	2.333333	4	104	92	47	0.5953177	-0.8711744	4.39182	9.293649	64	281	0.7391155	162.2324	5.510231	17.53021	11.13333	0.4972451	0.4450738	20	18	82	178	0.6496492	106215	9.005574	179	17.44326	8.72163	7.2873	3.718867	0.0581442	295779753	2570974	108179	2.169048e-4	30	0.7071049	1.572872	2.105096	1.284388	1.859434	1.473431	2.574239	DDD	TRUE	DDD_TRUE
-4.970242	3067	1239	0.009953995	354.2952	10	10	-0.4519461	300	0.6572783	1028.165	2.5	5	98	104	53	0.6220736	-1.344953	5.938629	9.288785	538	284	0.8049056	160.1322	6.328918	17.35449	10.22333	0.514823	0.4786402	18	15	86	186	0.6368412	69342	5.190758	187	18.78494	9.392472	5.733969	4.055526	0.06261648	401392758	2759120	116431	2.031865e-4	28	0.6348285	1.719339	2.440514	1.408846	2.027763	1.86737	2.826459	DDD	TRUE	DDD_TRUE
-6.32785	3091	1227	0.0423877	354.1361	10	10	-0.7589463	300	0.6775911	967.2266	2.607143	6	97	106	49	0.632107	-1.098917	4.778639	9.296698	587	283	0.798656	157.5293	6.437408	17.61028	10.30333	0.5164622	0.4823423	16	16	86	189	0.6353968	67194	6.285608	190	18.29235	9.146177	8.730734	4.009029	0.06097451	414262296	2707312	107061	1.987403e-4	31	0.7070516	1.617436	1.967482	1.227759	2.004515	1.431926	2.204365	DDD	TRUE	DDD_TRUE
-6.078851	3239	1551	-0.02229568	353.1721	10	10	-0.6473497	300	0.6654779	1003.566	2.307692	5	101	98	48	0.6187291	-1.178864	4.63971	9.28314	1	280	0.7621629	161.2559	6.515087	17.37697	10.79667	0.5016743	0.4647918	14	19	72	185	0.6398072	94552	10.24949	187	18.33588	9.167938	6.240813	4.129197	0.06111959	278811621	2693317	109669	2.064067e-4	30	0.574637	1.678205	2.032613	1.289217	2.064599	1.273056	2.493282	DDD	TRUE	DDD_TRUE
-4.836889	3212	1418	0.5870898	341.1842	10	10	-0.1856439	300	0.7114359	865.6923	2.347826	5	101	98	54	0.6153846	-0.8220205	3.340745	9.304876	585	281	0.7685696	162.5225	6.294609	16.72326	10.70667	0.469627	0.4567861	18	18	70	184	0.6574444	105175	8.315006	188	17.78211	8.891054	11.66856	3.370425	0.05927369	313644492	2676695	100047	1.953556e-4	31	0.6666591	1.447646	1.530378	1.208485	1.685212	1.107965	1.841451	DDD	TRUE	DDD_TRUE
-4.803897	3111	1311	0.1896045	347.2903	10	10	-0.5012867	300	0.6687116	993.8651	2.666667	5	104	92	46	0.5886288	-1.226482	5.742968	9.278033	1	282	0.7935216	163.9411	6.608109	17.53599	10.37	0.4791498	0.4374204	22	17	82	176	0.6602657	71850	7.645251	177	18.34023	9.170116	6.575276	3.853034	0.06113411	405008421	2699919	106925	2.008928e-4	33	0.7071005	1.661982	2.267845	1.395671	1.926517	1.55816	2.83947	DDD	TRUE	DDD_TRUE
-4.958561	2960	1106	0.2580603	349.6668	10	10	-0.2246163	300	0.6798271	960.5188	2.241379	4	98	104	53	0.6153846	-1.277204	5.47698	9.285907	593	283	0.8340019	160.1747	6.818634	16.94314	9.866667	0.4765636	0.4605133	28	16	98	184	0.6552049	62570	5.748049	187	18.55757	9.278784	6.996971	3.713483	0.06185856	375938832	2758916	114335	2.003097e-4	29	0.7047049	1.606219	2.01773	1.354014	1.856742	1.544498	2.368179	DDD	TRUE	DDD_TRUE
